Feature,Importance
V1_pos_seq,0.09706616964942805
I_imbalance,0.08644363022723832
I_diff_bc,0.07329417374162914
I0_zero_seq,0.06047351468816457
V_total_magnitude,0.05872709027680197
I_sum,0.05487479714679158
I1_pos_seq,0.05082055652430055
I_diff_ab,0.050740496076545946
I_diff_ca,0.05024630159417591
V_imbalance,0.04973512063642569
V_diff_ca,0.04764488586546418
I_total_magnitude,0.037482984009707274
Ic,0.03067448571552833
V_diff_ab,0.02859063677199057
V_diff_bc,0.027994294317098135
Ib,0.02196378649759003
P_total,0.01965003325271663
Ia,0.01763592385036891
Va,0.015557955842807137
Vb,0.01553855339400391
P_phase_c,0.015303865031732044
Z_phase_c,0.013383624358794054
V_sum,0.012368737737433815
V0_zero_seq,0.012124192834225958
Z_phase_b,0.011731491715307796
Z_phase_a,0.010960329940309172
Vc,0.0097685559549104
P_phase_b,0.009662246510401713
P_phase_a,0.009541565838108244
