,precision,recall,f1-score,support
Line A Line B to Ground Fault,1.0,0.986784140969163,0.9933481152993349,227.0
Line-to-Line AB,0.9868995633187773,1.0,0.9934065934065934,226.0
Line-to-Line with Ground BC,1.0,0.9950248756218906,0.9975062344139651,201.0
No Fault,0.9978858350951374,0.9978858350951374,0.9978858350951374,473.0
Three-Phase,0.5982142857142857,0.6118721461187214,0.6049661399548533,219.0
Three-Phase with Ground,0.6143497757847534,0.6035242290748899,0.6088888888888889,227.0
accuracy,0.8855689764780674,0.8855689764780674,0.8855689764780674,0.8855689764780674
macro avg,0.8662249099854923,0.8658485378133004,0.8660003011764621,1573.0
weighted avg,0.8858904189349087,0.8855689764780674,0.8856986826623884,1573.0
